time,x,y,z
4.850016,3.2946477,2.9023154,8.375233
4.8600163,3.3829076,2.9023154,8.375233
4.8700166,3.451554,2.8728955,8.659626
4.880017,3.510394,2.7846355,8.767499
4.890017,3.5300074,2.4414027,9.140152
4.9000173,3.510394,2.2060432,9.140152
4.9100175,3.4417474,2.1177833,9.140152
4.9200177,3.373101,2.0001035,8.689046
4.930018,3.284841,1.9216502,8.1791
4.9500184,3.2161946,1.8922303,7.610314
4.9600186,3.1867747,1.8922303,7.051335
4.970019,3.1377413,1.9118435,5.9922166
4.980019,3.069095,1.9118435,5.6489835
4.9900193,2.980835,1.9118435,5.305751
5.0000196,2.8827684,1.8922303,5.1880713
5.01002,2.8043153,1.813777,4.9527116
5.02002,2.7356687,1.7255172,4.9232917
5.03002,2.7356687,1.6274507,4.9036784
5.0400205,2.7454753,1.3822844,4.962518
5.060021,2.8435419,1.3626711,5.2665243
5.070021,3.3829076,1.3430579,5.639177
5.0800214,3.7359471,1.4117044,5.7176304
5.0900216,4.157633,1.6764839,5.9627967
5.100022,4.530286,1.6960973,6.060863
5.110022,4.8244853,1.8039703,6.570809
5.1300225,5.1579113,2.0491366,6.9728813
5.1400228,5.530564,2.176623,7.4534073
5.150023,5.6286306,2.1864297,7.5612807
5.160023,5.7365036,2.1962366,7.639734
5.1700234,5.98167,2.1962366,7.639734
5.1800237,6.0699296,2.1962366,7.639734
5.190024,6.344516,2.176623,7.6985736
5.200024,6.4229693,2.176623,8.26736
5.2100244,6.825042,2.1962366,9.218605
5.2200246,7.1878877,2.2844963,10.385596
5.230025,7.599767,2.353143,11.434908
5.240025,7.9037733,2.3237228,12.2194395
5.2500253,7.9233866,1.9020369,12.817645
5.2600255,7.85474,1.4999642,13.092232
5.2700257,7.501701,1.0880849,13.092232
5.280026,7.0898213,0.7056256,13.062812
5.290026,6.717169,0.5879458,12.670546
5.3000264,6.619102,0.48007268,12.36654
5.3100266,6.540649,0.46045935,11.95466
5.320027,6.5210357,0.46045935,11.503554
5.330027,6.5210357,0.51929927,10.8857355
5.3400273,6.5210357,0.6271724,10.160044
5.3500276,6.540649,0.862532,9.336285
5.360028,6.540649,0.9409852,8.512526
5.370028,6.540649,1.0390517,7.7574134
5.3800282,6.4720025,1.0488584,7.051335
5.3900285,6.1876097,1.0488584,6.6296487
5.4000287,6.0699296,1.0488584,6.5315824
5.410029,5.756117,1.0488584,6.5315824
5.420029,5.677664,1.1076982,6.6296487
5.4300294,5.5795975,1.2155714,6.953268
5.4400296,5.314818,1.4607376,7.012108
5.45003,5.216751,1.480351,7.0317216
5.46003,4.9519715,1.5784174,7.0317216
5.4700303,4.8440986,1.6862906,7.002301
5.4800305,4.500866,1.7941637,6.9140415
5.490031,4.2262797,2.0589433,6.9140415
5.500031,4.128213,2.1373966,6.9728813
5.510031,4.069373,2.3727562,6.982688
5.5200315,4.04976,2.4708228,6.9140415
5.5300317,4.04976,2.745409,6.649262
5.540032,4.02034,2.7650223,6.6296487
5.550032,4.02034,2.823862,6.933655
5.5600324,4.0007267,2.8434753,7.7476068
5.5700326,3.9811134,2.8434753,8.56156
5.580033,3.9516933,2.8434753,8.904792
5.590033,3.9516933,2.823862,8.904792
5.6000333,3.9713066,2.745409,8.875372
5.6100335,4.07918,2.6669557,8.581173
5.6200337,4.177246,2.6375358,8.551753
5.630034,4.1870527,2.6375358,8.551753
5.640034,4.1674395,2.6375358,8.551753
5.6500344,4.098793,2.6375358,8.551753
5.6600347,4.07918,2.657149,8.551753
5.670035,4.0595665,2.7159889,8.26736
5.680035,4.0595665,2.7159889,8.032
5.6900353,4.1184063,2.7159889,7.94374
5.7000356,4.1870527,2.7159889,7.5710874
5.710036,4.2655063,2.6963756,7.041528
5.720036,4.2851195,2.6277292,6.5021625
5.7300363,4.5400925,2.6277292,6.5217757
5.7400365,4.834292,2.912122,7.512247
5.7500367,5.216751,3.2063215,8.894985
5.760037,5.452111,3.2063215,10.356176
5.770037,5.452111,3.1376748,11.631041
5.7800374,5.1579113,2.6277292,12.680352
5.7900376,4.7264185,2.00991,13.386431
5.800038,4.245893,1.392091,14.004251
5.810038,3.8928535,0.9605985,14.367096
5.8200383,3.8732402,0.6271724,14.671103
5.8300385,3.9811134,0.53891253,14.680909
5.840039,4.608739,0.53891253,14.396516
5.850039,5.1579113,0.59775245,13.572758
5.860039,5.5992107,1.0390517,12.415573
5.8700395,5.9620566,1.5293841,11.238775
5.8800397,6.226836,2.0001035,10.277723
5.89004,6.2464495,2.2550764,9.512804
5.90004,6.2464495,2.353143,8.983245
5.9100404,5.98167,2.3727562,8.894985
5.9200406,5.667857,2.3727562,8.865565
5.930041,5.334431,2.2746897,8.865565
5.940041,4.942165,1.9902967,8.865565
5.9500413,4.5695124,1.9314568,8.747886
5.9600415,4.2360864,1.843197,8.385039
5.9700418,3.9713066,1.7647438,8.100647
5.980042,3.8830469,1.7353238,7.79664
5.990042,3.765367,1.7157105,7.5612807
6.0000424,3.6967204,1.7157105,7.2278543
6.0100427,3.6967204,1.7843571,6.9630747
6.020043,3.706527,1.8922303,6.6884885
6.030043,3.7849803,2.0001035,6.600229
6.0400434,3.8732402,2.06875,6.492356
6.0500436,3.9811134,2.0883634,6.256996
6.060044,4.07918,2.0883634,6.1883492
6.070044,4.1870527,2.0883634,6.1000896
6.0800443,4.275313,2.0883634,6.031443
6.0900445,4.3341527,2.0883634,6.031443
6.1000447,4.4224124,2.0197167,6.090283
6.110045,4.530286,1.9608768,6.364869
6.120045,4.804872,1.8726169,6.453129
6.1300454,4.863712,1.6274507,6.5315824
6.1400456,4.971585,1.5489975,6.600229
6.150046,5.079458,1.4411243,6.6100354
6.160046,5.334431,1.3430579,6.6100354
6.1700463,5.4324975,1.284218,6.6100354
6.1800466,5.77573,1.2547979,6.6100354
6.190047,6.079736,1.2547979,6.5806155
6.200047,6.4425826,1.225378,6.5806155
6.2100472,6.844655,1.1273115,6.600229
6.2200475,7.246728,0.7644655,6.904235
6.2300477,7.6389937,0.3525862,7.6005073
6.240048,7.91358,0.24471307,8.100647
6.250048,7.9724197,0.24471307,8.865565
6.2600484,8.276425,0.4898793,9.689324
6.2700486,8.727531,0.8233054,10.444436
6.280049,9.208057,1.0782783,10.954382
6.290049,9.306124,1.1861514,11.297615
6.3000493,9.325737,1.2744113,11.817368
6.3100495,9.296317,1.2940246,12.474413
6.32005,8.894244,1.3038312,12.974552
6.33005,8.443139,1.3234445,13.062812
6.34005,7.943,1.392091,12.758805
6.3500504,7.452667,1.4117044,11.886014
6.3600507,6.9819484,1.4117044,10.689602
6.370051,6.5798755,1.3332511,9.238218
6.380051,6.1876097,0.9409852,7.6691537
6.3900514,5.8639903,0.8233054,6.2766094
6.4000516,5.77573,0.49968597,5.325364
6.410052,5.756117,0.48007268,4.717352
6.420052,5.77573,0.48007268,4.1387596
6.4300523,5.8541837,0.5879458,3.5209408
6.4400525,5.9130235,1.0390517,3.0208018
6.4500527,5.8836036,1.421511,2.6383424
6.460053,5.6090174,1.7745504,2.618729
6.470053,5.5403705,2.12759,2.8933153
6.4800534,5.422691,2.4119828,3.6190073
6.4900537,5.167718,2.519856,4.5016055
6.500054,5.089265,2.5885024,5.2567177
6.510054,5.0010047,2.608116,5.933377
6.5200543,4.755839,2.6179225,6.2275763
6.5300546,4.6773853,2.6277292,6.2471895
6.540055,4.5695124,2.6473424,6.266803
6.550055,4.4910593,2.6669557,6.266803
